weekday,hour,best_discrete,ks_discrete,p_discrete,params_discrete,best_continuous,ks_continuous,p_continuous,params_continuous
0,12,nbinom,0.10514431262142598,0.02326218338503816,"{'n': 92.39815203695917, 'p': 0.8061232798632032}",gamma,0.039090346568638745,0.9109989872480229,"{'a': 357.9931435789541, 'loc': -77.35079603729307, 'scale': 0.2781529682722611}"
0,13,poisson,0.1093021052953263,0.01588788333697561,{'mu': 20.65326633165829},norm,0.04019468984123731,0.8916699163999078,"{'loc': 20.63503848666313, 'scale': 5.228241245306591}"
0,14,poisson,0.097590139577589,0.041359449697875195,{'mu': 19.225},norm,0.036749128560898625,0.9406987804344258,"{'loc': 19.23332863474684, 'scale': 5.194741521714678}"
0,15,nbinom,0.09234159256030705,0.06191206641443481,"{'n': 43.333829037232846, 'p': 0.7095318849390457}",gamma,0.059753552390565734,0.45538422790685307,"{'a': 827.918038292954, 'loc': -126.02335694995634, 'scale': 0.17365598721620146}"
0,16,nbinom,0.08725443497788146,0.08960703482225996,"{'n': 49.345112161452434, 'p': 0.7526123350470497}",gamma,0.03441407885265191,0.9653215492704177,"{'a': 20.6318737936509, 'loc': -4.764361221214484, 'scale': 1.0159981417564048}"
0,17,nbinom,0.09677695591410432,0.04409137553502496,"{'n': 96.37472617743713, 'p': 0.851707475534982}",gamma,0.04021913474685973,0.8895766336318155,"{'a': 212.8448499434412, 'loc': -47.9763935850375, 'scale': 0.30428970743486117}"
0,18,nbinom,0.10813960474567202,0.017182903557303737,"{'n': 42.37940870715283, 'p': 0.6854802107027625}",gamma,0.042816019671277794,0.8412977441388182,"{'a': 3074.641241758545, 'loc': -275.7245300727333, 'scale': 0.09599618020033429}"
0,19,nbinom,0.1176397090146638,0.007210845921472155,"{'n': 50.024542012320076, 'p': 0.709270762081254}",weibull_min,0.0256255515053444,0.9990400771878643,"{'c': 3.7554133687832554, 'loc': 2.3468868107384555, 'scale': 20.08906661973203}"
0,20,nbinom,0.09385988302239379,0.055219110089260504,"{'n': 50.02990033222592, 'p': 0.7108549471661864}",gamma,0.04042061099302863,0.886111209059018,"{'a': 234.77895092134003, 'loc': -62.30208766561453, 'scale': 0.35198647847042314}"
0,21,nbinom,0.10201314266185446,0.028933971190422292,"{'n': 47.70393867985599, 'p': 0.7265414220667482}",weibull_min,0.043592577041648095,0.8254950774048482,"{'c': 2.428950453051106, 'loc': 6.598165488025712, 'scale': 12.801720209411148}"
0,22,nbinom,0.09242548480268609,0.06152492493229966,"{'n': 49.903066528066546, 'p': 0.7667596072251183}",weibull_min,0.0451325051717717,0.7926498729265254,"{'c': 2.678700293601735, 'loc': 3.969456138544802, 'scale': 12.563834853722236}"
0,23,poisson,0.11247525076683529,0.011666603126997561,{'mu': 12.595},gamma,0.030763128789501604,0.988587189007292,"{'a': 68.46108718657926, 'loc': -22.27251660139106, 'scale': 0.5095507441479317}"
1,0,poisson,0.1051810478987738,0.022183754930613805,{'mu': 10.125},gamma,0.03689132282094698,0.9389397323952964,"{'a': 7.603955284592006, 'loc': -1.6666778868577383, 'scale': 1.54947931494758}"
1,1,nbinom,0.16898782019826036,1.8385860278098847e-05,"{'n': 26.701220541087764, 'p': 0.7948868814822504}",weibull_min,0.04956488328229697,0.6906104408827121,"{'c': 2.497137980330139, 'loc': -0.03357141214062452, 'scale': 7.792342928100375}"
1,2,poisson,0.14550624215133023,0.000402038791592765,{'mu': 5.106060606060606},gamma,0.04808749956429431,0.7310001489743521,"{'a': 6.358822333381838, 'loc': -1.0519357387241393, 'scale': 0.9677073945404315}"
1,3,poisson,0.2132520110067226,2.0205004886074892e-08,{'mu': 3.969849246231156},gamma,0.045802266031858746,0.7803448268846835,"{'a': 4.568424041534703, 'loc': -0.5973820034311559, 'scale': 0.9981890637418014}"
1,4,poisson,0.16185030916117854,9.038524734962364e-05,{'mu': 3.3404255319148937},weibull_min,0.07708338157146782,0.20315822423841923,"{'c': 1.3975277535461406, 'loc': 0.44751822188774015, 'scale': 3.1527143823425394}"
1,5,poisson,0.21695356821811784,3.9998988819857744e-08,{'mu': 3.281081081081081},norm,0.06736581643309042,0.3548066131910176,"{'loc': 3.2967060596011906, 'scale': 1.748548021171823}"
1,6,poisson,0.2199413038074945,1.648575922784734e-08,{'mu': 3.4232804232804233},norm,0.06037293082879108,0.47781322128275494,"{'loc': 3.4194083662139847, 'scale': 1.7777871047399194}"
1,7,poisson,0.1509381692422811,0.00020109642573373649,{'mu': 5.386934673366834},gamma,0.036239603874227755,0.9477732739304685,"{'a': 4.9355152872898, 'loc': -0.45740728834491057, 'scale': 1.181754061518266}"
1,8,poisson,0.12524418044043628,0.0034129480467338285,{'mu': 10.94},weibull_min,0.03794975401574652,0.9249198924959369,"{'c': 2.7544475193830804, 'loc': 2.628683453990297, 'scale': 9.346346480091976}"
1,9,nbinom,0.10634783195529113,0.020074834156680467,"{'n': 37.565751244002634, 'p': 0.6715874983091497}",norm,0.0350282264367531,0.9596215326084169,"{'loc': 18.364815453664786, 'scale': 5.235329096729236}"
1,10,poisson,0.09680529888367595,0.044827648230672534,{'mu': 21.597989949748744},gamma,0.037113311705852414,0.9372933147107707,"{'a': 1733.392505565263, 'loc': -207.0814321628477, 'scale': 0.13191788965370382}"
1,11,poisson,0.14478050479800553,0.00041949261117549063,{'mu': 22.768844221105528},weibull_min,0.049206669443184914,0.7019763526221297,"{'c': 4.989362046853827, 'loc': -0.9462414106648558, 'scale': 25.794092399249926}"
1,12,nbinom,0.08359105067616879,0.11543155269867023,"{'n': 39.15094339622642, 'p': 0.6535947712418301}",gamma,0.03578180992669844,0.9518727136935021,"{'a': 76.8083193358787, 'loc': -28.576931196578826, 'scale': 0.6423089592678178}"
1,13,poisson,0.13092816163231152,0.0020268552941529235,{'mu': 20.1010101010101},weibull_min,0.041462823498295776,0.8711638511693298,"{'c': 4.058607294265277, 'loc': 3.019199470055384, 'scale': 18.78597296130531}"
1,14,nbinom,0.10112600503707897,0.031123062623907072,"{'n': 63.668430335097, 'p': 0.7701661937576003}",gamma,0.03325886418059032,0.9745824423087012,"{'a': 26679.561432286733, 'loc': -792.1926225191053, 'scale': 0.030405242860731627}"
1,15,nbinom,0.09353927525751121,0.05657815377637154,"{'n': 86.07381253042306, 'p': 0.8313192939616898}",weibull_min,0.03650803155474314,0.9436119874584663,"{'c': 2.7641815809342436, 'loc': 5.73941901374644, 'scale': 13.119509660097883}"
1,16,nbinom,0.1252916569416529,0.00339654349309824,"{'n': 48.419253351868434, 'p': 0.7484899089574966}",weibull_min,0.039338403502186065,0.9041162369278001,"{'c': 3.781898582046988, 'loc': 0.5401451731786715, 'scale': 17.420999925257085}"
1,17,poisson,0.10140723737341378,0.030413837658766152,{'mu': 16.45},gamma,0.03214606982352286,0.9817830197774727,"{'a': 65.4087665120266, 'loc': -20.14847222033697, 'scale': 0.5590573809391683}"
1,18,nbinom,0.09313192574195195,0.058346241395993426,"{'n': 39.7658647216134, 'p': 0.6677630107893424}",weibull_min,0.03442156955590581,0.9652553202479304,"{'c': 2.510193903039542, 'loc': 7.213489122916776, 'scale': 14.215843779347772}"
1,19,nbinom,0.08976396006439669,0.07486374594241074,"{'n': 83.33690503921116, 'p': 0.8008781830269486}",gamma,0.03613172266154574,0.9479897777346319,"{'a': 194.0695067515946, 'loc': -50.142632587461804, 'scale': 0.36509644935500474}"
1,20,nbinom,0.08343778831464306,0.11663329452210625,"{'n': 159.07081518863689, 'p': 0.8894547646791529}",gamma,0.03801222111123967,0.9240419824249593,"{'a': 18.84342316810467, 'loc': -0.6196105367906217, 'scale': 1.0805937669797903}"
1,21,nbinom,0.14954267551837291,0.00022773571913189128,"{'n': 244.88915206063524, 'p': 0.9316186712448578}",weibull_min,0.03920157251407835,0.9062836486133864,"{'c': 4.211874328570426, 'loc': 1.7764491902354131, 'scale': 17.83849615189301}"
1,22,nbinom,0.09574280257434309,0.04779088406686949,"{'n': 53.9377836334358, 'p': 0.7804313586834238}",weibull_min,0.03654334683336291,0.9431904177152889,"{'c': 2.95876838697323, 'loc': 3.2156546700496778, 'scale': 13.43153907503747}"
1,23,poisson,0.09196707639574198,0.06366586747344549,{'mu': 12.69},weibull_min,0.029175313522835603,0.993886030372195,"{'c': 1.7141370564811036, 'loc': 5.754803311962377, 'scale': 7.9097696359766525}"
2,0,poisson,0.12588343815181746,0.0031980682659446384,{'mu': 9.695},gamma,0.02629154937554412,0.9985588138067629,"{'a': 20.59513226279217, 'loc': -7.11724209244683, 'scale': 0.8147799678967586}"
2,1,poisson,0.12353168031673767,0.004181894378265289,{'mu': 6.748743718592965},gamma,0.024368897939876955,0.9996115340977595,"{'a': 5.814984035602283, 'loc': -0.679548725286873, 'scale': 1.2780865661551717}"
2,2,poisson,0.18953489006607638,9.834576129669844e-07,{'mu': 5.110552763819095},norm,0.040707689743028484,0.8828483402410492,"{'loc': 5.112009502440586, 'scale': 2.628301607968006}"
2,3,poisson,0.17844648899868648,5.85009891595888e-06,{'mu': 4.192893401015229},gamma,0.0378471905977078,0.9301642699134447,"{'a': 3.997468192225472, 'loc': -0.344672738277766, 'scale': 1.129266237994687}"
2,4,poisson,0.19544592151235635,8.435186900684936e-07,{'mu': 3.7883597883597884},weibull_min,0.031077447530402758,0.9906342974821225,"{'c': 1.7547431321950109, 'loc': 0.5054843251084111, 'scale': 3.7191754201951346}"
2,5,poisson,0.23614044989393945,2.065008258081365e-09,{'mu': 3.142857142857143},weibull_min,0.045500029548088086,0.8286215289699259,"{'c': 1.785495921998281, 'loc': 0.3536127423462574, 'scale': 3.1587740806718756}"
2,6,poisson,0.17994271071762,9.057946381838007e-06,{'mu': 3.2620320855614975},weibull_min,0.03783978602032512,0.9423312753179641,"{'c': 1.3655693324432638, 'loc': 0.51127705717829, 'scale': 2.995296533264294}"
2,7,poisson,0.14846497460839825,0.00029631881401638544,{'mu': 4.634517766497462},weibull_min,0.0488908198109167,0.7151140884813736,"{'c': 1.5582944228437956, 'loc': 0.9467687931010383, 'scale': 4.15319175828991}"
2,8,nbinom,0.10857667885059585,0.016536583037405513,"{'n': 34.908245505269704, 'p': 0.7725926970252363}",gamma,0.024182321264344497,0.9996469324846979,"{'a': 18.80046959495757, 'loc': -5.720650238633203, 'scale': 0.8523207417536505}"
2,9,poisson,0.13084102922039903,0.0019096025350326914,{'mu': 18.015},norm,0.03403026186183176,0.9686073623358863,"{'loc': 18.006597959057714, 'scale': 4.729292799163987}"
2,10,nbinom,0.10203524625312066,0.029490312782449513,"{'n': 61.60033905695315, 'p': 0.7380409692696384}",weibull_min,0.04577767982732561,0.7808907535517409,"{'c': 3.42740553334016, 'loc': 4.795797550390622, 'scale': 18.979211173801836}"
2,11,nbinom,0.1481697005293684,0.0003068779774423752,"{'n': 65.36339522546416, 'p': 0.743598462950998}",weibull_min,0.05218137761597752,0.6374416397414733,"{'c': 5.125456727686351, 'loc': -2.1332504814188544, 'scale': 26.815454460551283}"
2,12,nbinom,0.09533736770168516,0.049312912469438364,"{'n': 95.46450750727134, 'p': 0.8124327273263442}",gamma,0.03183325358014877,0.983520855814882,"{'a': 1060.2346304511884, 'loc': -149.26288562529948, 'scale': 0.1615797848663234}"
2,13,nbinom,0.11900513675844238,0.006326507698751385,"{'n': 80.18388429752065, 'p': 0.8027709861450693}",weibull_min,0.026721795607842325,0.9981563556643116,"{'c': 4.403499661085254, 'loc': 0.39297919214920785, 'scale': 21.175570902758935}"
